Name,2NDTAG,3RDTAG,Agency,Agent notes for human,Area1,Area2,Artifacts,Contact person,Description,Email,Events,Funding Opportunities,Human notes for agent,LinkedIn,Memes,NewsletterScraper (CA),Ontology,Ontology Tags,Phone number,Projects & Areas,Public Email,SAP,Website,related programs and initiatives
Ecohub,,,org,,,,,,,,,,,,,,,,,,,,https://ecohub.cat/,
Bioma,CATBIS,,org,"Added CATBIS with strong review flags: Catalunya-based and likely ecological/regenerative, but current source is only Instagram and needs confirmation.","Ops in Catalunya, catalan",regional,,,"Catalan organization/project referenced through Instagram; likely connected to ecological or regenerative activity, but details need confirmation from a richer source.",,,,,,"Eco Social Transition, Regeneration",,"Ecosystem Regeneration (https://app.notion.com/p/Ecosystem-Regeneration-3331441510e1816d83f1e6eb4734ef50?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21)",Catalan ecology project; regenerative activity; source check needed,,,,"Catalan ecological/regenerative project candidate currently referenced mainly through Instagram. Relevant to CATBIS if confirmed because it appears to be Catalunya-based and connected to ecological or regenerative activity, but the source is too thin for a confident classification.",https://www.instagram.com/bioma.cat/,
Microsolidarity / Microsolidarity BCN,,,,,,,,,,,,,,,,,,,,,,,https://www.microsolidarity.cc/,
Ebro Ecosystem,"CATBIS, wanna collaborate with",,network/ecosystem,"Ontology relation filled for Ebro/Terres de l’Ebre ecosystem mapping, water and watershed repair, ecological monitoring, regenerative agriculture and network weaving. Keep human/source review because this is an internal ecosystem container.","Ops in Catalunya, catalan",regional,,,"Ecosystem/container row for actors, projects, and initiatives connected to the Ebro / Terres de l’Ebre bioregional and regenerative context.",,,,,,"Bioregionalism, Eco Social Transition, Regeneration",,"Geographic_and_Ecological_Mapping (https://app.notion.com/p/Geographic_and_Ecological_Mapping-3331441510e1813bbf09e5818bc0fae6?pvs=21), Water_Management (https://app.notion.com/p/Water_Management-3331441510e181288124c49fd649d9ba?pvs=21), Watershed_Repair (https://app.notion.com/p/Watershed_Repair-3331441510e181d798ede5c0958fe944?pvs=21), Ecological_Monitoring (https://app.notion.com/p/Ecological_Monitoring-3331441510e1816ba8f8c71a168a276e?pvs=21), Regenerative_Agriculture (https://app.notion.com/p/Regenerative_Agriculture-3331441510e181a3a4c8d5e5948fe526?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21)",Ebro; Terres de l’Ebre; bioregionalism; watershed; delta resilience; agroecology; biodiversity; territorial regeneration,,,,"Internal ecosystem-mapping container for Ebro-related regenerative work. Relevant to CATBIS as a territorial lens for water, delta resilience, agroecology, rural livelihoods, biodiversity, climate adaptation, and bioregional regeneration around the Ebro basin / Terres de l’Ebre.",,
Metamorfosis Telegram Group,,,,,,,,,,,,,,,,,,,,,,,,
Oikocredit,CATBIS,,"funder, org","Ontology relation filled for investment vehicles, portfolio development, structuring/capitalization, farmer/agriculture finance, renewable energy and alternative finance. CATBIS relevance still needs confirmation.",international,,,,"Worldwide cooperative and social impact investor financing financial inclusion, agriculture, renewable energy, and climate resilience partners, mainly in low-income communities across Africa, Asia, Latin America, and the Caribbean.",,,,,,"Bioeconomy, Eco Social Transition, Impact Investing",,"Investment_Vehicles (https://app.notion.com/p/Investment_Vehicles-3331441510e1819da547e4c9865b3be1?pvs=21), Portfolio_Development (https://app.notion.com/p/Portfolio_Development-3331441510e181df8e8ff4170407af7e?pvs=21), Structuring_and_Capitalization (https://app.notion.com/p/Structuring_and_Capitalization-3331441510e181ca9fbeeaf2171d3045?pvs=21), Farmer_Support (https://app.notion.com/p/Farmer_Support-3331441510e18121891cff38c403492d?pvs=21), Renewable_Energy (https://app.notion.com/p/Renewable_Energy-3331441510e181f58896c3f08d1d6ee6?pvs=21), Alternative Finance (https://app.notion.com/p/Alternative-Finance-3331441510e1818f9c0defb3e55bef58?pvs=21)",impact investing; cooperative finance; financial inclusion; agriculture finance; renewable energy; climate resilience; sustainable development,,,,"International cooperative impact investor focused on financial inclusion, agriculture, renewable energy, and climate resilience. Relevant to CATBIS as a reference actor for cooperative finance, impact investing, regenerative finance patterns, agriculture finance, and climate-oriented capital, though not specifically Catalan.",https://www.oikocredit.org/,
Giveth House telegram group,,,,,,,,,,,,,,,,,,,,,,,,
lucia herdandez boundaryless,,,ind,,,,,,,,,,,,,,,,,,,,https://luciahernandez.co/,
Fundacion Aland,,,org,,,,,,,,,,,,,,,,,,,,https://fundacionaland.com/en/fundacion-aland-english/,
Naturalwalks,,,org,,,,,,,,,,,,,,,,,,"
						
						info@naturalwalks.com",,https://naturalwalks.com/en/,
Design School for Regenerating Earth,CATBIS,,org,"Added CATBIS with confirmation/source-check flags: thematically relevant, but location and Catalunya-specific relevance need confirmation.",international,regional,,,"Design School for Regenerating Earth is a learning/community platform focused on regenerative design, ecological and social transformation, and the practice of designing for Earth regeneration.",,,,,,"Bioregionalism, Regeneration",,"Learning_Programs (https://app.notion.com/p/Learning_Programs-3331441510e181f48fccd81f52b7a58f?pvs=21), Peer_Learning (https://app.notion.com/p/Peer_Learning-3331441510e1811fa2ebc276ab53a2f6?pvs=21), Storying_Place (https://app.notion.com/p/Storying_Place-3331441510e18182bf1cd178a1b9ecc1?pvs=21), Ecosystem Regeneration (https://app.notion.com/p/Ecosystem-Regeneration-3331441510e1816d83f1e6eb4734ef50?pvs=21)",regenerative design; learning community; Earth regeneration; ecological design; systems change,,,,"Regenerative design learning platform relevant to CATBIS as educational infrastructure for regenerative practice, systems change, and ecological design. Catalunya-specific relevance is unclear, so it should remain a broad reference/candidate rather than a confirmed local ecosystem actor.",https://design-school-for-regenerating-earth.mn.co/,
Political Ecology Master students,,,,Candidate review: this looks like a group/contact-category or internal note rather than a clear CRM actor. Left CATBIS empty for now; needs human decision before tagging or enrichment.,,,,,,,,,,,,,,,,,,,,
IDRA BCN,,,org,,,,,,,,,,,,,,,,,,,,https://idrabcn.com/en/,
Ada Navarro,"CATBIS, wanna collaborate with","Food, Social",ind,,"Ops in Catalunya, Ops in Spain",regional,,Agora Regenerativa (https://app.notion.com/p/Agora-Regenerativa-1621441510e1836681dc0114ab0d75c5?pvs=21),"Ada Navarro Puche is a regenerative communication and project-development practitioner linked to Ágora Regenerativa. She supports regenerative organisations, rural entrepreneurs, and food-system initiatives through strategy, communication, facilitation, and capacity-building.",,,,,https://www.linkedin.com/in/ada-navarro-puche-a653a590/,"Bioregionalism, Regeneration",Registered,"Art_and_Storytelling (https://app.notion.com/p/Art_and_Storytelling-3331441510e181ba993ecde5ccf02fac?pvs=21), Coaches_and_Leaders (https://app.notion.com/p/Coaches_and_Leaders-3331441510e181e69544c56ed7db8945?pvs=21), Farmer_Support (https://app.notion.com/p/Farmer_Support-3331441510e18121891cff38c403492d?pvs=21), Learning_Programs (https://app.notion.com/p/Learning_Programs-3331441510e181f48fccd81f52b7a58f?pvs=21), Regenerative_Agriculture (https://app.notion.com/p/Regenerative_Agriculture-3331441510e181a3a4c8d5e5948fe526?pvs=21), Venture_Cultivation (https://app.notion.com/p/Venture_Cultivation-3331441510e1810a9b93cfddfa945786?pvs=21)",regenerative communication; regenerative agriculture; food systems; permaculture; holistic management; rural entrepreneurship,,,hola@agoraregenerativa.com,"Individual practitioner and connector operating between regenerative communication, rural entrepreneurship, food systems, and organisational development. Relevant to CATBIS through Ágora Regenerativa / Regen Hub links, regenerative agriculture training, farmer and producer support, and capacity-building for regenerative enterprises in Catalunya and Spain.",https://adanavarro.com/,
Permaculture Barcelona Hub,CATBIS,,"org, space","Ontology relation filled for permaculture hub/learning center, learning programs, peer learning, regenerative agriculture, demonstrator-site potential and resource hub role. Source/status check remains.","Ops in Catalunya, catalan",regional,,,"Barcelona permaculture hub connected to 12 Principles Permaculture Design, envisioned as a permanent space for learning, courses, skill-sharing, networking, and regenerative design in an urban and social context.",,,,,,"Bioregionalism, Eco Social Transition, Regeneration",,"Cultural_Hub_or_Learning_Center (https://app.notion.com/p/Cultural_Hub_or_Learning_Center-3331441510e18163bf4ce6a952135f8c?pvs=21), Learning_Programs (https://app.notion.com/p/Learning_Programs-3331441510e181f48fccd81f52b7a58f?pvs=21), Peer_Learning (https://app.notion.com/p/Peer_Learning-3331441510e1811fa2ebc276ab53a2f6?pvs=21), Regenerative_Agriculture (https://app.notion.com/p/Regenerative_Agriculture-3331441510e181a3a4c8d5e5948fe526?pvs=21), Demonstrator_Site (https://app.notion.com/p/Demonstrator_Site-3331441510e181008114ef47089f4baa?pvs=21), Resource_Hub (https://app.notion.com/p/Resource_Hub-3331441510e181e3805ed268cb9ae292?pvs=21)",permaculture; regenerative design; urban permaculture; social permaculture; deep adaptation; regenerative education; Barcelona,,,,"Barcelona-based permaculture learning and community hub for social/urban permaculture, regenerative design, skill-sharing, and deep adaptation. Relevant to CATBIS as urban permaculture infrastructure and a practical node for regenerative education, community resilience, and social-ecological design in Catalunya.",https://12pdesign.net/permaculture-barcelona-hub/,
Agora Regenerativa,"CATBIS, wanna collaborate with","Ecosystems, Food, Social",org,,"Ops in Catalunya, Ops in Spain","Baix Camp, Mediterranean Dry Interior, Priorat, regional",,Ada Navarro (https://app.notion.com/p/Ada-Navarro-dd21441510e182d9b6760181d1934f2e?pvs=21),"Ágora Regenerativa is a training and consultancy platform for regenerative transition in rural territories. It supports rural entrepreneurs, agroecological practitioners, regenerative agriculture, livestock, forest management, and organisations working toward environmental regeneration.",,,,,https://www.linkedin.com/company/agora-regenerativa,"Bioregionalism, Regeneration",no Newsletter,"Regenerative_Agriculture (https://app.notion.com/p/Regenerative_Agriculture-3331441510e181a3a4c8d5e5948fe526?pvs=21), Farmer_Support (https://app.notion.com/p/Farmer_Support-3331441510e18121891cff38c403492d?pvs=21), Learning_Programs (https://app.notion.com/p/Learning_Programs-3331441510e181f48fccd81f52b7a58f?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Venture_Cultivation (https://app.notion.com/p/Venture_Cultivation-3331441510e1810a9b93cfddfa945786?pvs=21)",regenerative agriculture; rural transition; capacity building; bioregionalism; farmer support; regenerative entrepreneurship,,,hola@agoraregenerativa.com,"Training and consultancy platform operating in Catalunya and Spain around regenerative rural transition. Core relevance: regenerative agriculture, livestock, forest management, rural entrepreneurship, farmer/producer support, structured learning, community-building, and organisational accompaniment for environmental regeneration. Strong CATBIS fit as a capacity-building and network node for regenerative food systems and rural territorial transition.",https://www.agoraregenerativa.com/,
Associació GENS,"CATBIS, wanna collaborate with","Ecosystems, Food, Social",org,,Ops in Catalunya,"Alt Penedès, Font-Rubí, Mediterranean Dry Interior",,,"Associació GENS (Grup d'Experimentació en Naturisme i Sostenibilitat) is a rural association based in Font-Rubí (Alt Penedès, Catalonia) promoting sustainable rural initiatives to address social, economic, and environmental challenges. Its work spans four axes: training in sustainable practices and rural project management; accompaniment and specialist services for rural and agroecological initiatives; environmental projects focused on protecting and recovering natural ecosystems; and community building through collaborative networks and mutual support. Key programmes include the Regen Hub (accelerator for regenerative agri-food enterprises), Acadèmia Rústika (training for rural professionals), La Gatera (agroecological food group), Defensem el Llentiscle (environmental defence), and Can Ubach (demonstrator site).",,,,,https://www.linkedin.com/company/associaciogens/,"Bioregionalism, Eco Social Transition, Regeneration",no Newsletter,"Demonstrator_Site (https://app.notion.com/p/Demonstrator_Site-3331441510e181008114ef47089f4baa?pvs=21), Ecological_Monitoring (https://app.notion.com/p/Ecological_Monitoring-3331441510e1816ba8f8c71a168a276e?pvs=21), Farmer_Support (https://app.notion.com/p/Farmer_Support-3331441510e18121891cff38c403492d?pvs=21), Learning_Programs (https://app.notion.com/p/Learning_Programs-3331441510e181f48fccd81f52b7a58f?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Regenerative_Agriculture (https://app.notion.com/p/Regenerative_Agriculture-3331441510e181a3a4c8d5e5948fe526?pvs=21)",rural regeneration; agroecology; regenerative agriculture; low-tech; environmental education; food sovereignty; Alt Penedès,,,info@associaciogens.org,"Operations in Catalonia, Alt Penedès, Mediterranean dry interior.
Bioregionalism, regeneration, ecosocial transition. Regenerative agriculture, structured learning and rural training, farmer and producer accompaniment, network weaving, ecological monitoring and environmental stewardship.
Rural association operating at the intersection of agroecological transition, territorial resilience, and community organisation. Builds capacity in rural practitioners and emerging agri-food projects through training and direct accompaniment. Combines environmental action with social infrastructure — food sovereignty, land stewardship, and collaborative networks. Demonstrator and convener role within the Catalan regenerative and ecosocial ecosystem.",https://associaciogens.org/,
Red de Municipios por la Agroecologia,"CATBIS, wanna collaborate with",,"network/ecosystem, org","Ontology relation filled for municipal governance, policy advocacy, participatory food strategies, community food access, agroecology and network weaving.","Ops in Europe, Ops in Spain",regional,,,"Spanish network of local governments working to build sustainable, resilient, inclusive, diverse, healthy, accessible, and environmentally respectful local food systems through agroecology-based public policies.",,,,,,"Bioeconomy, Eco Social Transition, Regeneration",,"Governance_Bodies (https://app.notion.com/p/Governance_Bodies-3331441510e181688959d5e2a5457fc6?pvs=21), Political_Advocacy (https://app.notion.com/p/Political_Advocacy-3331441510e1812880fdd8d661966799?pvs=21), Participatory_Planning_and_Strategies (https://app.notion.com/p/Participatory_Planning_and_Strategies-3331441510e181b09adbd91296317ceb?pvs=21), Community_Food_Access (https://app.notion.com/p/Community_Food_Access-3331441510e1817daf1efe81df7ef31c?pvs=21), Regenerative_Agriculture (https://app.notion.com/p/Regenerative_Agriculture-3331441510e181a3a4c8d5e5948fe526?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21)",agroecology; municipal food policy; local food systems; public procurement; sustainable food systems; food sovereignty; urban food policy,,,info@municipiosagroeco.red,"Municipal agroecology network supporting local authorities to develop agroecological food policies, sustainable food systems, local employment, public procurement, and cross-city learning. Relevant to CATBIS as policy and municipal-infrastructure reference for agroecological transition, including potential Catalan municipal food-system work.",https://www.municipiosagroeco.red/,
Atreyu Investments,wanna collaborate with,,org,"Removed CATBIS for now: strong regenerative-investing relevance, but no concrete Catalunya link found in this review. Keep as wanna-collaborate / international reference if strategically useful.","Ops in Catalunya, Ops in Europe, Ops in Spain, international",,,,"Atreyu Investments is a regenerative impact-investment firm using investment as a means for regeneration, with a living-systems approach to planet, people, and communities.",,,,,https://www.linkedin.com/company/atreyuinvestments,"Impact Investing, Regeneration",no Newsletter,"Investment_Vehicles (https://app.notion.com/p/Investment_Vehicles-3331441510e1819da547e4c9865b3be1?pvs=21), Portfolio_Development (https://app.notion.com/p/Portfolio_Development-3331441510e181df8e8ff4170407af7e?pvs=21), Venture_Cultivation (https://app.notion.com/p/Venture_Cultivation-3331441510e1810a9b93cfddfa945786?pvs=21), Regenerative_Agriculture (https://app.notion.com/p/Regenerative_Agriculture-3331441510e181a3a4c8d5e5948fe526?pvs=21), Health_and_Social_Care (https://app.notion.com/p/Health_and_Social_Care-3331441510e181a6a96cd1c573d1a930?pvs=21), Learning_Programs (https://app.notion.com/p/Learning_Programs-3331441510e181f48fccd81f52b7a58f?pvs=21)",regenerative investment; impact investing; living systems; regenerative agriculture; ecosystem finance; venture accompaniment,,,"ebru.kaya@atreyu.global , andre@atreyu.global","Regenerative impact investor and field-building actor aligned with living-systems investing and regenerative finance. Useful as an ORSH / potential collaborator or international reference, but no concrete Catalunya operations or Catalan ecosystem link were confirmed in this batch, so it should not stay in CATBIS for the Regenerant Catalunya Map for now.",https://www.atreyu.global/,
Azolla Projects,"CATBIS, wanna collaborate with","Ecosystems, Energy, Food",org,,"Ops in Catalunya, Ops in Spain",regional,,,"Azolla Projects is a Barcelona-linked naturetech / carbon-farming startup helping farmers transition to regenerative agriculture through soil-carbon monitoring, carbon credits, and regenerative carbon-farming methodologies.",,,,,https://www.linkedin.com/company/azolla-projects,"Bioeconomy, Eco Social Transition, Regeneration",no Newsletter,"Regenerative_Agriculture (https://app.notion.com/p/Regenerative_Agriculture-3331441510e181a3a4c8d5e5948fe526?pvs=21), Farmer_Support (https://app.notion.com/p/Farmer_Support-3331441510e18121891cff38c403492d?pvs=21), Ecological_Monitoring (https://app.notion.com/p/Ecological_Monitoring-3331441510e1816ba8f8c71a168a276e?pvs=21), Result_Based_Mechanisms (https://app.notion.com/p/Result_Based_Mechanisms-3371441510e180f0a6d2dfce8ad76f4b?pvs=21), Value_Chain_Development (https://app.notion.com/p/Value_Chain_Development-3331441510e181b0bf6efa361478dbf2?pvs=21), Structuring_and_Capitalization (https://app.notion.com/p/Structuring_and_Capitalization-3331441510e181ca9fbeeaf2171d3045?pvs=21)",carbon farming; regenerative agriculture; soil carbon; natural capital; farmer transition; carbon credits; Catalunya; Aragón,+34 648 782 509,,info@azollaprojects.com,"Relevant to CATBIS as Catalonia-facing regenerative-agriculture and carbon-farming infrastructure. Its work connects farmer transition support, soil organic carbon monitoring, regenerative and agroforestry practices, biodiversity and water-cycle recovery, Mediterranean carbon-farming pilots, and natural-capital / carbon-credit mechanisms, including work across Catalonia and Aragón.",https://www.azollaprojects.com/,
Bax Innovation,CATBIS,,org,"Ontology relation filled for innovation strategy, network weaving, EU/grant programs, venture cultivation, circular/material transformation, energy transition and systems mapping.","Ops in Catalunya, Ops in Europe",regional,,,"Barcelona-headquartered innovation consultancy (offices in Utrecht, Brussels, Cambridge, and Düsseldorf) supporting changemakers across Europe to design pilots, tools, and collaborative programmes that translate bold ideas into societal impact. Works across nine topic areas — circular consumption, circular industry, digital, energy, health, materials, mobility, nature, and urban — serving 1,200+ public and private clients across 44 countries. Core offer spans three areas: running innovation pilots that test and replicate solutions at scale; building and managing EU-funded collaborations that bring together diverse stakeholder communities; and developing bespoke tools and strategies to help organisations make decisions on their biggest challenges. Also offers dedicated EU funding support, from strategy and proposal writing through to implementation and management.",,,,,https://www.linkedin.com/company/bax-innovation,"Eco Social Transition, Regeneration",Registered,"Participatory_Planning_and_Strategies (https://app.notion.com/p/Participatory_Planning_and_Strategies-3331441510e181b09adbd91296317ceb?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Grants_Programs (https://app.notion.com/p/Grants_Programs-3331441510e18166b8a7ffb8c528af98?pvs=21), Venture_Cultivation (https://app.notion.com/p/Venture_Cultivation-3331441510e1810a9b93cfddfa945786?pvs=21), Materials_Transformation (https://app.notion.com/p/Materials_Transformation-3331441510e181788e3ad7ffb8a2be05?pvs=21), Renewable_Energy (https://app.notion.com/p/Renewable_Energy-3331441510e181f58896c3f08d1d6ee6?pvs=21), Systems_and_Resource_Mapping (https://app.notion.com/p/Systems_and_Resource_Mapping-3331441510e1817db512f22616e77166?pvs=21)",innovation consulting; EU projects; circular economy; nature-based solutions; urban transition; energy transition; ecosystem building,,,barcelona@baxcompany.com,"HQ in Barcelona with pan-European operations. Ecosocial transition. Innovation consulting and pilot design, participatory planning and strategy development, EU funding structuring and management, network weaving across public bodies, companies, research organisations and civil society. Works at the intersection of technology, environment, and society, with increasing focus on nature-based and circular economy topics relevant to the ReFi and regenerative ecosystem.",https://baxcompany.com/,
Mas Les Vinyes,CATBIS,,org,Added CATBIS: clear Catalunya-based permaculture/regenerative farm relevance. No collaboration status inferred.,"Ops in Catalunya, catalan",regional,,,Regenerative / permaculture farm or project in Catalunya.,,,,,,"Bioregionalism, Eco Social Transition, Regeneration",,"Regenerative_Agriculture (https://app.notion.com/p/Regenerative_Agriculture-3331441510e181a3a4c8d5e5948fe526?pvs=21), Demonstrator_Site (https://app.notion.com/p/Demonstrator_Site-3331441510e181008114ef47089f4baa?pvs=21), Learning_Programs (https://app.notion.com/p/Learning_Programs-3331441510e181f48fccd81f52b7a58f?pvs=21), Peer_Learning (https://app.notion.com/p/Peer_Learning-3331441510e1811fa2ebc276ab53a2f6?pvs=21), Traditional_Ecological_Knowledge (https://app.notion.com/p/Traditional_Ecological_Knowledge-3331441510e181259b3ad2370358bb34?pvs=21)",permaculture; regenerative agriculture; demonstrator site; ecological education; rural transition; Catalunya,,,,"Catalan regenerative/permaculture farm and learning project. Relevant to CATBIS as a Catalunya-based practical node for permaculture, regenerative agriculture, demonstrator-site learning, rural transition, and ecological education.",https://www.maslesvinyes.com/,
AKASHA Hub,,,org,Moved from Research & Reading List DB. Original tag: Tech & Web3.,,,,,Tech / Web3 organization or hub.,,,,,,,,,,,,,,,
Akasha Foundation,,,org,Moved from Research & Reading List DB. Original tag: Tech & Web3.,,,,,Tech / Web3 organization or foundation.,,,,,,,,,,,,,,,
Generalitat de Catalunya,,,public body,Moved from Research & Reading List DB.,,,,,Government of Catalunya.,,,,,,,,,,,,,,,
Àrea Metropolitana de Barcelona,,,public body,Moved from Research & Reading List DB.,,,,,Metropolitan public institution for the Barcelona area.,,,,,,,,,,,,,,,
Diputació de Barcelona,,,public body,Moved from Research & Reading List DB.,,,,,Barcelona provincial public institution.,,,,,,,,,,,,,,,
Ajuntament de Barcelona,,,public body,"Added CATBIS: clear Barcelona public-institution relevance, but specific departments/programmes should be linked separately when known. No collaboration status inferred.","Ops in Catalunya, catalan",regional,,,Barcelona city public institution.,,,,,,"Eco Social Transition, Regeneration",,"Governance_Bodies (https://app.notion.com/p/Governance_Bodies-3331441510e181688959d5e2a5457fc6?pvs=21), Political_Advocacy (https://app.notion.com/p/Political_Advocacy-3331441510e1812880fdd8d661966799?pvs=21), Participatory_Planning_and_Strategies (https://app.notion.com/p/Participatory_Planning_and_Strategies-3331441510e181b09adbd91296317ceb?pvs=21), Systems_and_Resource_Mapping (https://app.notion.com/p/Systems_and_Resource_Mapping-3331441510e1817db512f22616e77166?pvs=21)",municipal governance; Barcelona; urban ecology; climate adaptation; public policy; ecosocial transition,,,,"Barcelona city public institution. Relevant to CATBIS as core municipal governance infrastructure for urban ecology, climate adaptation, mobility, housing, local economy, social policy, and public programmes shaping ecosocial transition in Barcelona.",,
MICELI - Serveis Regeneratius per les ruralitats,CATBIS,,org,Added CATBIS: clear Catalan rural-regeneration relevance. Possible duplicate with Miceli Social; consolidate later if safe.,"Ops in Catalunya, catalan",regional,,,Regenerative services organization for rural territories.,,,,,,"Bioeconomy, Eco Social Transition, Regeneration",,"Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Participatory_Planning_and_Strategies (https://app.notion.com/p/Participatory_Planning_and_Strategies-3331441510e181b09adbd91296317ceb?pvs=21), Governance_Bodies (https://app.notion.com/p/Governance_Bodies-3331441510e181688959d5e2a5457fc6?pvs=21), Regenerative_Agriculture (https://app.notion.com/p/Regenerative_Agriculture-3331441510e181a3a4c8d5e5948fe526?pvs=21), Ecological_Monitoring (https://app.notion.com/p/Ecological_Monitoring-3331441510e1816ba8f8c71a168a276e?pvs=21)",rural regeneration; regenerative services; social economy; rural territories; Catalonia; cooperative platform,,,,"Catalan regenerative-services cooperative/platform for rural territories. Relevant to CATBIS as rural-regeneration infrastructure for social-economy services, territorial resilience, agroecological/rural development, governance, and ecosocial transition in Catalunya.",https://miceli.social/,
Grup Cooperatiu Ecos,,,"network/ecosystem, org",Moved from Research & Reading List DB.,,,,,Cooperative group in the Catalan social economy ecosystem.,,,,,,,,,,,,,,https://grupecos.coop/,
Pamapam,,,network/ecosystem,Moved from Research & Reading List DB.,,,,,Social and solidarity economy map / ecosystem platform in Catalunya.,,,,,,,,,,,,,,https://pamapam.org/,
Nexe,,,org,Moved from Research & Reading List DB. Original tags: Cooperative; Media & Communications.,,,,,Cooperative media and communications organization.,,,,,,,,,,,,,,https://nexe.coop/,
Jamgo,,,org,Moved from Research & Reading List DB.,,,,,"Cooperative organization, likely technology / digital services.",,,,,,,,,,,,,,https://jamgo.coop/,
Impuls Cooperatiu de Sants,,,network/ecosystem,Moved from Research & Reading List DB.,,,,,Cooperative / social economy ecosystem initiative in Sants.,,,,,,,,,,,,,,https://sants.coop/,
Coòpolis — Ateneu Cooperatiu de Barcelona,CATBIS,"Energy, Social",network/ecosystem,,"Ops in Catalunya, catalan",Barcelonès,,,"Coòpolis — Ateneu Cooperatiu de Barcelona is Barcelona’s cooperative-development and social-and-solidarity-economy support infrastructure, based at Bloc4 and offering training, accompaniment, observatory work, and ecosocial-transition programming.",,,,,,Eco Social Transition,,"Collective_Ownership_Models (https://app.notion.com/p/Collective_Ownership_Models-3331441510e1811db7b2e4505cc30563?pvs=21), Commons_Governance_Protocols (https://app.notion.com/p/Commons_Governance_Protocols-3331441510e181019702eb428e0a8448?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Participatory_Planning_and_Strategies (https://app.notion.com/p/Participatory_Planning_and_Strategies-3331441510e181b09adbd91296317ceb?pvs=21), Cultural_Hub_or_Learning_Center (https://app.notion.com/p/Cultural_Hub_or_Learning_Center-3331441510e18163bf4ce6a952135f8c?pvs=21)",cooperative ecosystem; social and solidarity economy; ecosocial transition; cooperative support; Barcelona,,,coopolis@bcn.coop,"Barcelona cooperative ecosystem infrastructure supporting creation, consolidation, training, education, observatory work, and sectoral circles for the social and solidarity economy. Relevant to CATBIS as a strong urban node for cooperative development, ecosocial transition, energy transition through its Cercle de Transició Ecosocial, feminist economies, anti-racist/migration work, and local economic resilience.",https://www.bcn.coop/transicio-ecosocial/,
CatalanDAO,,,org,Moved from Research & Reading List DB.,,,,,Catalan DAO / Web3 organization or community.,,,,,,,,,,,,,,https://catalandao.cat/,
Comunitàries BCN,CATBIS,,network/ecosystem,"Added CATBIS with strong review flags: likely Barcelona community/commons relevance, but current source is thin and needs confirmation.","Ops in Catalunya, catalan",regional,,,"Barcelona community / commons-oriented initiative, inferred from Twitter handle.",,,,,,Eco Social Transition,,"Commons_Governance_Protocols (https://app.notion.com/p/Commons_Governance_Protocols-3331441510e181019702eb428e0a8448?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Participatory_Planning_and_Strategies (https://app.notion.com/p/Participatory_Planning_and_Strategies-3331441510e181b09adbd91296317ceb?pvs=21)",community commons; Barcelona; neighbourhood organizing; source check needed,,,,"Barcelona community / commons-oriented initiative inferred from available source. Relevant to CATBIS if confirmed as a neighbourhood/community commons actor, but current evidence is thin and based mainly on a social-media source.",https://twitter.com/ComunitariesBCN,
Ciutat Invisible,,,org,Moved from Research & Reading List DB.,,,,,Cooperative / social economy organization in Barcelona.,,,,,,,,,,,,,,,
La Comunal,,,"network/ecosystem, space",Moved from Research & Reading List DB.,,,,,Cooperative space / ecosystem in Barcelona.,,,,,,,,,,,,,,https://lacomunal.coop/,
Economia Social,,,network/ecosystem,Moved from Research & Reading List DB.,,,,,Social economy platform / ecosystem resource.,,,,,,,,,,,,,,https://economiasocial.coop/,
Xarxa d’Economia Solidària (XES),,,network/ecosystem,Moved from Research & Reading List DB.,,,,,Catalan social and solidarity economy network.,,,,,,,,,,,,,,https://xes.cat/,
Fundació,,,org,Moved from Research & Reading List DB. Name may need clarification.,,,,,Organization / foundation connected to the Catalan social economy ecosystem.,,,,,,,,,,,,,,https://fesc.xes.cat/,
Giveth,,,"funder, org",Moved from Research & Reading List DB. Original tag: Tech & Web3.,,,,,Web3 / ReFi donation and funding platform.,,,,,,,,,,,,,,,
Vocdoni,,,org,Moved from Research & Reading List DB. Original tag: Tech & Web3.,,,,,Tech / Web3 organization or project.,,,,,,,,,,,,,,,
Arç Cooperativa,,,org,Moved from Research & Reading List DB.,,,,,"Cooperative organization, likely linked to insurance / social economy services.",,,,,,,,,,,,,,https://arc.coop/,
Aragon,,,org,Moved from Research & Reading List DB. Original tag: Tech & Web3.,,,,,Tech / Web3 organization or project.,,,,,,,,,,,,,,,
